Date : 2023-02-18 23:34:12
Directory : /Users/saugatsingh/Documents/Projects/app
Total : 66 files,  3476 codes, 131 comments, 554 blanks, all 4161 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| HTML            |         11 |      1,648 |         23 |        143 |      1,814 |
| Java            |         38 |        932 |         20 |        290 |      1,242 |
| CSS             |          8 |        595 |         28 |         62 |        685 |
| JavaScript      |          3 |        107 |          9 |         16 |        132 |
| Batch           |          1 |        102 |         51 |         36 |        189 |
| XML             |          3 |         85 |          0 |          5 |         90 |
| Java Properties |          2 |          7 |          0 |          2 |          9 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |         66 |      3,476 |        131 |        554 |      4,161 |
| . (Files)                                                                                                       |          2 |        185 |         51 |         40 |        276 |
| .mvn                                                                                                            |          1 |          2 |          0 |          1 |          3 |
| .mvn/wrapper                                                                                                    |          1 |          2 |          0 |          1 |          3 |
| src                                                                                                             |         63 |      3,289 |         80 |        513 |      3,882 |
| src/main                                                                                                        |         62 |      3,280 |         80 |        508 |      3,868 |
| src/main/java                                                                                                   |         37 |        923 |         20 |        285 |      1,228 |
| src/main/java/com                                                                                               |         37 |        923 |         20 |        285 |      1,228 |
| src/main/java/com/kjlc                                                                                          |         37 |        923 |         20 |        285 |      1,228 |
| src/main/java/com/kjlc/app                                                                                      |         37 |        923 |         20 |        285 |      1,228 |
| src/main/java/com/kjlc/app (Files)                                                                              |          1 |          9 |          0 |          5 |         14 |
| src/main/java/com/kjlc/app/Entity                                                                               |          6 |        170 |          4 |         39 |        213 |
| src/main/java/com/kjlc/app/SecurityContext                                                                      |          1 |         24 |          1 |          9 |         34 |
| src/main/java/com/kjlc/app/config                                                                               |          1 |          8 |          0 |          3 |         11 |
| src/main/java/com/kjlc/app/controller                                                                           |          5 |        268 |          1 |         56 |        325 |
| src/main/java/com/kjlc/app/repository                                                                           |          6 |         49 |          0 |         35 |         84 |
| src/main/java/com/kjlc/app/security                                                                             |          2 |         62 |         13 |         22 |         97 |
| src/main/java/com/kjlc/app/services                                                                             |         13 |        235 |          0 |         93 |        328 |
| src/main/java/com/kjlc/app/services (Files)                                                                     |          6 |         48 |          0 |         24 |         72 |
| src/main/java/com/kjlc/app/services/impl                                                                        |          7 |        187 |          0 |         69 |        256 |
| src/main/java/com/kjlc/app/utils                                                                                |          2 |         98 |          1 |         23 |        122 |
| src/main/resources                                                                                              |         25 |      2,357 |         60 |        223 |      2,640 |
| src/main/resources (Files)                                                                                      |          1 |          5 |          0 |          1 |          6 |
| src/main/resources/static                                                                                       |         13 |        704 |         37 |         79 |        820 |
| src/main/resources/static/assets                                                                                |          5 |          7 |         14 |          1 |         22 |
| src/main/resources/static/assets/brand                                                                          |          2 |          2 |          0 |          1 |          3 |
| src/main/resources/static/assets/dist                                                                           |          3 |          5 |         14 |          0 |         19 |
| src/main/resources/static/assets/dist/css                                                                       |          2 |          4 |          8 |          0 |         12 |
| src/main/resources/static/assets/dist/js                                                                        |          1 |          1 |          6 |          0 |          7 |
| src/main/resources/static/css                                                                                   |          6 |        591 |         20 |         62 |        673 |
| src/main/resources/static/js                                                                                    |          2 |        106 |          3 |         16 |        125 |
| src/main/resources/templates                                                                                    |         11 |      1,648 |         23 |        143 |      1,814 |
| src/test                                                                                                        |          1 |          9 |          0 |          5 |         14 |
| src/test/java                                                                                                   |          1 |          9 |          0 |          5 |         14 |
| src/test/java/com                                                                                               |          1 |          9 |          0 |          5 |         14 |
| src/test/java/com/kjlc                                                                                          |          1 |          9 |          0 |          5 |         14 |
| src/test/java/com/kjlc/app                                                                                      |          1 |          9 |          0 |          5 |         14 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                        | language        | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| /Users/saugatsingh/Documents/Projects/app/.mvn/wrapper/maven-wrapper.properties                                 | Java Properties |          2 |          0 |          1 |          3 |
| /Users/saugatsingh/Documents/Projects/app/mvnw.cmd                                                              | Batch           |        102 |         51 |         36 |        189 |
| /Users/saugatsingh/Documents/Projects/app/pom.xml                                                               | XML             |         83 |          0 |          4 |         87 |
| /Users/saugatsingh/Documents/Projects/app/src/main/java/com/kjlc/app/AppApplication.java                        | Java            |          9 |          0 |          5 |         14 |
| /Users/saugatsingh/Documents/Projects/app/src/main/java/com/kjlc/app/Entity/Question.java                       | Java            |         24 |          0 |          6 |         30 |
| /Users/saugatsingh/Documents/Projects/app/src/main/java/com/kjlc/app/Entity/Result.java                         | Java            |         22 |          0 |          4 |         26 |
| /Users/saugatsingh/Documents/Projects/app/src/main/java/com/kjlc/app/Entity/Student.java                        | Java            |         29 |          0 |          6 |         35 |
| /Users/saugatsingh/Documents/Projects/app/src/main/java/com/kjlc/app/Entity/Submission.java                     | Java            |         21 |          0 |          3 |         24 |
